행정구역별(읍면동),2015,2015,2015,2016,2016,2016,2017,2017,2017,2018,2018,2018,2019,2019,2019
행정구역별(읍면동),총인구 (명),남자 (명),여자 (명),총인구 (명),남자 (명),여자 (명),총인구 (명),남자 (명),여자 (명),총인구 (명),남자 (명),여자 (명),총인구 (명),남자 (명),여자 (명)
중구,236988,120967,116021,236954,120843,116111,233343,118977,114366,227054,115519,111535,219428,111433,107995
남구,341363,175212,166151,338196,173201,164995,333117,170349,162768,327561,167350,160211,322135,164591,157544
동구,176861,95586,81275,176574,94898,81676,172306,91965,80341,166992,88798,78194,162104,86075,76029
북구,188664,98305,90359,192203,100251,91952,196147,102170,93977,203675,105962,97713,213524,110861,102663
울주군,222739,116854,105885,222106,116425,105681,222164,116632,105532,224834,118166,106668,226501,119005,107496
세종특별자치시,204088,103210,100878,242507,122648,119859,276589,139347,137242,312374,157289,155085,338136,170148,167988
읍부,52834,27591,25243,54123,28452,25671,52007,27176,24831,50660,26604,24056,50338,26341,23997
면부,50155,26356,23799,52410,27978,24432,52757,28445,24312,52239,28344,23895,51408,28335,23073
동부,101099,49263,51836,135974,66218,69756,171825,83726,88099,209475,102341,107134,236390,115472,120918
세종시,204088,103210,100878,242507,122648,119859,276589,139347,137242,312374,157289,155085,338136,170148,167988
경기도,12479061,6309661,6169400,12671956,6405301,6266655,12851601,6502723,6348878,13103188,6635106,6468082,13300900,6740448,6560452
읍부,1273396,657110,616286,1329033,688546,640487,1357641,704740,652901,1425450,741872,683578,1459827,760526,699301
면부,868833,471517,397316,860715,468157,392558,881231,480667,400564,829967,456511,373456,807497,448730,358767
동부,10336832,5181034,5155798,10482208,5248598,5233610,10612729,5317316,5295413,10847771,5436723,5411048,11033576,5531192,5502384
수원시,1194313,602702,591611,1207032,609777,597255,1216996,615690,601306,1218843,616240,602603,1214986,614493,600493
장안구,299611,151312,148299,297942,150663,147279,295436,149660,145776,288719,146009,142710,282288,143174,139114
권선구,349339,175856,173483,357995,180459,177536,364650,183913,180737,379834,191697,188137,374770,189282,185488
팔달구,208903,105184,103719,208363,105235,103128,206092,104339,101753,194299,98496,95803,189052,95973,93079
영통구,336460,170350,166110,342732,173420,169312,350818,177778,173040,355991,180038,175953,368876,186064,182812
성남시,948757,470483,478274,951518,470829,480689,944297,467176,477121,931393,461018,470375,919895,455369,464526
수정구,225967,114620,111347,236957,119900,117057,241862,122336,119526,240405,121508,118897,241256,121729,119527
중원구,244451,123308,121143,236284,119038,117246,226657,114220,112437,221034,111506,109528,216005,108919,107086
분당구,478339,232555,245784,478277,231891,246386,475778,230620,245158,469954,228004,241950,462634,224721,237913
의정부시,421579,208264,213315,424722,209604,215118,426530,210519,216011,432286,213199,219087,440357,216737,223620
안양시,585177,290592,294585,582049,288694,293355,576697,285721,290976,566574,280358,286216,557339,275659,281680
만안구,245305,122912,122393,244472,122449,122023,254107,127061,127046,251818,125781,126037,246200,122820,123380
동안구,339872,167680,172192,337577,166245,171332,322590,158660,163930,314756,154577,160179,311139,152839,158300
부천시,843794,420867,422927,844043,419916,424127,845514,420656,424858,848756,421816,426940,836751,415264,421487
원미구,440396,218373,222023,0,0,0,0,0,0,0,0,0,0,0,0
소사구,221553,110016,111537,0,0,0,0,0,0,0,0,0,0,0,0
오정구,181845,92478,89367,0,0,0,0,0,0,0,0,0,0,0,0
광명시,338509,167641,170868,334361,165500,168861,328253,162480,165773,323460,160088,163372,313462,154896,158566
평택시,457873,236164,221709,472254,244149,228105,486077,252448,233629,504485,262531,241954,521172,271966,249206
동두천시,97424,48625,48799,98625,49238,49387,97373,48666,48707,97535,48888,48647,96541,48387,48154
안산시,747035,386254,360781,743072,384147,358925,733661,379670,353991,720105,373477,346628,714650,370739,343911
상록구,383508,195050,188458,382533,194561,187972,379209,193021,186188,367063,187160,179903,356620,181899,174721
단원구,363527,191204,172323,360539,189586,170953,354452,186649,167803,353042,186317,166725,358030,188840,169190
고양시,990073,486128,503945,999098,489991,509107,1005102,492804,512298,1006992,493670,513322,1024645,501941,522704
덕양구,425100,210781,214319,430013,213002,217011,433606,214769,218837,436865,216427,220438,448571,221937,226634
일산동구,277925,135656,142269,281635,137358,144277,284692,138851,145841,287473,140138,147335,287041,139807,147234
일산서구,287048,139691,147357,287450,139631,147819,286804,139184,147620,282654,137105,145549,289033,140197,148836
과천시,64817,31557,33260,60923,29729,31194,53583,26267,27316,53740,26376,27364,53830,26584,27246
구리시,180063,89294,90769,183905,91067,92838,189741,93903,95838,195868,96907,98961,192270,95221,97049
남양주시,629061,314270,314791,641589,320811,320778,644936,322289,322647,661866,330430,331436,681077,339886,341191
오산시,213840,109743,104097,215478,110540,104938,219877,112936,106941,228059,117424,110635,233998,120893,113105
시흥시,425184,226111,199073,429321,227832,201489,446369,237042,209327,480201,254589,225612,508749,269625,239124
군포시,285721,142116,143605,284301,141252,143049,280913,139468,141445,276860,137539,139321,275154,136614,138540
의왕시,154879,77353,77526,153629,76597,77032,151852,75667,76185,149599,74569,75030,155826,77677,78149
하남시,154838,78307,76531,195422,98271,97151,218994,110017,108977,238592,119859,118733,260544,130979,129565
용인시,971327,485568,485759,982590,490583,492007,996260,497236,499024,1026126,512175,513951,1052529,525139,527390
처인구,231892,120555,111337,234916,122365,112551,240521,125322,115199,259524,135040,124484,266647,138547,128100
기흥구,407238,202288,204950,412713,204413,208300,416746,206270,210476,422583,209139,213444,434075,214565,219510
수지구,332197,162725,169472,334961,163805,171156,338993,165644,173349,344019,167996,176023,351807,172027,179780
파주시,415345,212388,202957,423957,216785,207172,430650,220786,209864,447906,229834,218072,454328,233834,220494
이천시,209003,106437,102566,214766,109731,105035,218798,112606,106192,220599,113933,106666,222995,115769,107226
안성시,194765,100873,93892,196362,101737,94625,198832,103648,95184,201135,104916,96219,202284,105953,96331
김포시,352683,181687,170996,365770,188970,176800,392438,202239,190199,424865,219676,205189,442910,229269,213641
화성시,608725,321376,287349,655350,345293,310057,708569,374529,334040,777295,411255,366040,838635,444058,394577
광주시,310278,160954,149324,322302,167206,155096,341046,176877,164169,364178,188618,175560,375238,194288,180950
양주시,205988,106033,99955,207009,106410,100599,212631,109115,103516,217776,111825,105951,224684,115541,109143
포천시,163388,88047,75341,162698,87938,74760,161239,87185,74054,161564,87854,73710,159871,87476,72395
여주시,109937,55713,54224,110273,56034,54239,111476,56779,54697,112096,57035,55061,111981,57249,54732
연천군,43846,22880,20966,44437,23445,20992,43990,23259,20731,43383,22888,20495,42540,22578,19962
가평군,58909,29933,28976,59391,30121,29270,59548,30169,29379,59957,30404,29553,59823,30360,29463
양평군,101930,51301,50629,105709,53104,52605,109359,54876,54483,111094,55715,55379,111836,56004,55832
강원도,1518040,768241,749799,1521751,769461,752290,1521386,769043,752343,1520391,768604,751787,1520127,767717,752410
읍부,263480,135749,127731,262715,134992,127723,260460,133729,126731,259555,133133,126422,256203,131052,125151
면부,334016,173468,160548,336412,174756,161656,337821,175670,162151,342341,177964,164377,350394,181717,168677
동부,920544,459024,461520,922624,459713,462911,923105,459644,463461,918495,457507,460988,913530,454948,458582
춘천시,281596,138548,143048,283027,138962,144065,283742,139217,144525,284985,140158,144827,284753,140095,144658
원주시,330854,165595,165259,337479,168226,169253,341338,170450,170888,344168,171818,172350,349319,174245,175074
강릉시,215677,108604,107073,215977,108852,107125,215914,108572,107342,215528,108495,107033,216357,108707,107650
동해시,90255,45712,44543,89527,45410,44117,89151,45347,43804,87830,44573,43257,86780,44086,42694
태백시,46715,23689,23026,45708,23137,22571,44733,22638,22095,43488,21928,21560,42474,21366,21108
속초시,79846,39482,40364,79109,39191,39918,78618,38962,39656,78312,38834,39478,78643,39015,39628
삼척시,69509,35953,33556,69364,35916,33448,67860,35066,32794,67881,35175,32706,67210,34827,32383
홍천군,67190,34285,32905,66791,34113,32678,67168,34331,32837,67177,34347,32830,66634,34090,32544
횡성군,42669,21519,21150,42927,21720,21207,43211,21839,21372,44116,22417,21699,44431,22615,21816
영월군,36967,18902,18065,37019,19043,17976,36934,19006,17928,36762,18977,17785,36332,18696,17636
평창군,40427,20711,19716,40470,20808,19662,40264,20670,19594,40025,20497,19528,39657,20341,19316
정선군,36701,18976,17725,36233,18765,17468,36002,18776,17226,35580,18582,16998,35255,18390,16865
철원군,46025,24692,21333,45433,24256,21177,44770,23792,20978,44346,23485,20861,43520,22869,20651
화천군,25343,14176,11167,24820,13816,11004,24625,13589,11036,23950,13041,10909,23425,12636,10789
양구군,22497,12029,10468,22454,12029,10425,22355,11971,10384,22101,11761,10340,21780,11569,10211
인제군,31219,16938,14281,30759,16642,14117,30524,16456,14068,30373,16416,13957,30133,16333,13800
고성군,28689,15348,13341,28984,15589,13395,28621,15422,13199,28127,15139,12988,27144,14505,12639
양양군,25861,13082,12779,25670,12986,12684,25556,12939,12617,25642,12961,12681,26280,13332,12948
충청북도,1589347,805377,783970,1603404,814049,789355,1611009,818500,792509,1620935,826183,794752,1629343,832543,796800
읍부,309858,159559,150299,317692,163516,154176,320852,165384,155468,324696,167828,156868,349009,181615,167394
면부,328701,171469,157232,333343,174682,158661,344064,179939,164125,356704,187712,168992,338833,179013,159820
동부,950788,474349,476439,952369,475851,476518,946093,473177,472916,939535,470643,468892,941501,471915,469586
충주시,211005,107171,103834,211890,107725,104165,212274,108092,104182,215224,109825,105399,216446,110758,105688
제천시,136350,68515,67835,137022,68953,68069,136929,68951,67978,136101,68478,67623,136093,68500,67593
청주시,833276,417411,415865,840338,421930,418408,842311,423088,419223,845036,425541,419495,850938,429372,421566
상당구,171877,85662,86215,169463,84734,84729,166664,83201,83463,170120,84868,85252,173783,86676,87107
서원구,222721,110177,112544,221143,109708,111435,221147,109810,111337,216409,107382,109027,210273,104590,105683
흥덕구,255542,128512,127030,257050,129285,127765,258308,130000,128308,258037,130621,127416,266301,135116,131185
청원구,183136,93060,90076,192682,98203,94479,196192,100077,96115,200470,102670,97800,200581,102990,97591
보은군,32522,16129,16393,32517,16234,16283,32253,16018,16235,32507,16357,16150,32001,16139,15862
옥천군,50704,25511,25193,50159,25153,25006,49898,24987,24911,49756,24997,24759,49117,24706,24411
영동군,49542,24759,24783,48879,24394,24485,49034,24410,24624,48475,24151,24324,48004,24076,23928
진천군,71152,38173,32979,74222,39919,34303,79186,42564,36622,83915,45247,38668,87525,47307,40218
괴산군,37830,19365,18465,38164,19557,18607,38579,19826,18753,38453,19905,18548,38808,20265,18543
음성군,102023,55512,46511,104635,57109,47526,104509,57136,47373,105539,58229,47310,104823,58027,46796
단양군,28770,14456,14314,28503,14284,14219,28411,14228,14183,28444,14254,14190,28095,14146,13949
증평군,36173,18375,17798,37075,18791,18284,37625,19200,18425,37485,19199,18286,37493,19247,18246
충청남도,2107802,1078310,1029492,2132566,1091091,1041475,2162426,1108610,1053816,2181416,1119996,1061420,2188649,1124678,1063971
읍부,489361,251758,237603,484407,249185,235222,507152,260932,246220,507389,261430,245959,509047,262579,246468
면부,681198,353965,327233,694904,361007,333897,676350,353298,323052,675822,354010,321812,671818,352947,318871
동부,937243,472587,464656,953255,480899,472356,978924,494380,484544,998205,504556,493649,1007784,509152,498632
천안시,629062,322793,306269,638752,327305,311447,656294,336476,319818,671799,344688,327111,679743,348353,331390
동남구,277781,142078,135703,276627,141194,135433,273839,139765,134074,276455,141393,135062,279153,142402,136751
서북구,351281,180715,170566,362125,186111,176014,382455,196711,185744,395344,203295,192049,400590,205951,194639
공주시,113542,56610,56932,112928,55991,56937,111017,55006,56011,110119,54549,55570,109877,54485,55392
보령시,101852,52245,49607,101161,51976,49185,100922,52077,48845,100229,51911,48318,99320,51427,47893
아산시,319929,166820,153109,328287,171258,157029,338473,177501,160972,342272,179837,162435,347032,182818,164214
서산시,169221,87287,81934,169643,87634,82009,171364,88802,82562,174177,90379,83798,175204,91088,84116
논산시,124246,62191,62055,124202,62317,61885,123774,62102,61672,122843,61625,61218,122111,61167,60944
계룡시,39243,19447,19796,40576,20119,20457,41858,20761,21097,41557,20621,20936,41153,20531,20622
당진시,163762,86801,76961,166043,88082,77961,168508,89656,78852,169965,90747,79218,169171,90358,78813
금산군,55923,28086,27837,56697,28688,28009,55672,28047,27625,55015,27627,27388,54442,27198,27244
부여군,69017,34262,34755,68152,33776,34376,67028,33215,33813,66527,32997,33530,65337,32446,32891
서천군,54768,27161,27607,53880,26727,27153,53321,26510,26811,52604,26272,26332,51826,26010,25816
